지점명,닉네임,작성리뷰수,작성시간,방문일,방문횟수,인증수단,좋아요수,리뷰내용,감정,근거
신촌2호점,jimmy00web8,10,25.6.30.월,점심에 방문,1번째 방문,영수증,1,"가성비 대비 좋아요.
혼자 식시하기 좋네요 다른 식당들은 혼밥하러감 눈치 보이는데.
글고 무엇 보다도 직원분들이 친절해서 좋았어요.
담에 신촌근처에 식사 할 일있음 또 편하게 혼밥하러 갈겁니다.",긍정,직원분들이 친절해서
신촌2호점,맛집외길인생,"1,883",25.10.13.월,저녁에 방문,1번째 방문,영수증,0,짬뽕이 좀 매워요,부정,좀 매워요
신촌2호점,쨔쨔론2,35,25.7.21.월,점심에 방문,2번째 방문,영수증,0,"보끔밥 양 진짜진짜 많아요 ㅋㅋㅎㅋㅎㅋㅎㅋ
밥종류 시키면 짬뽕국물 주는데 그게 별미예요
신촌에서 중식 혼밥하고 싶을때는 홍반이 짱이네요👍🏻
매장도 깔끔하고 좋습니다",긍정,진짜진짜 많아요
신촌2호점,파도4436,46,25.6.15.일,저녁에 방문,1번째 방문,영수증,1,"역시 믿고 먹는 홍콩반점👍🤤
신촌에서 혼밥 해야 할 때 여기만한 곳이 없어요
짬뽕이 진짜 맛있고 탕수육도 먹고 싶은데 양이 많을 것 같을 때 반반메뉴로 시키면 혼자서 배부르게 먹을 수 있어요. 직원분들도 친절하시고 매장도 깨끗해서 편하게 먹기 좋습니다 ㅎㅎ",긍정,맛있고
신촌2호점,재재슈슈,3,25.7.19.토,점심에 방문,1번째 방문,영수증,0,홍콩반점 오랜만에 들렀는데 여전히 맛있네요. 가게도 시원하고 뜨거운 짬뽕 먹어도 더운줄 모르고 맛있게 먹었어요.탕수육이랑 짜장면이야 말모~!!! 더운데 입맛없을땐 짬뽕이쥬~~~~~~,긍정,맛있네요
신촌2호점,엉클뤼치,8,25.6.11.수,점심에 방문,1번째 방문,영수증,1,홍콩반점 3900원에 먹을수 있는 기회였지만 평소대로 탕짜로 선택^^ 층계 아래까지 줄서서 들어갔더니 역시 풀. 바쁜거에비해 주문후 5분 안짝에 음식 받은것같다. 솔직히 탕짜는 홍콩반점이 최고인듯. 탕슉의씹는 질감이 너무 좋은곳. 직원분들도 친절하시고. 감사히 잘 먹었습니다. 번창하세요.,긍정,친절하시고
신촌2호점,Starph,"1,450",25.10.20.월,점심에 방문,1번째 방문,영수증,0,맛있어요~,긍정,맛있어요
신촌2호점,쨔쨔론2,35,25.6.11.수,점심에 방문,1번째 방문,영수증,1,"고기짜장 고기 엄청 듬뿍 들어있어요!!!!
가성비짱짱 홍콩반점 👍🏻👍🏻
학교다니면서 거의 매주 오는 것 같은데 항상 맛있고 양 진짜 많아요.
글고 사장님 짱짱 친절하세요🩷🩷",긍정,가성비짱짱
신촌2호점,강소이0,"2,994",25.6.19.목,저녁에 방문,4번째 방문,영수증,0,볶음짬뽕 행사해서 저렴하게 먹었습니다. 맛도 좋았어요.,긍정,맛도 좋았어요
신촌2호점,엉클뤼치,8,25.7.10.목,밤에 방문,2번째 방문,영수증,0,"너무 맛있게 잘먹었습니다. JMT!!!
쟁반짜장 정말 푸짐. 탕수육도 고기가 튼실.
날씨 엄청 더웠는데 시원한곳에서 맛점하고 나니까 나가기가 싫었어요 ㅎ",긍정,너무 맛있게
신촌2호점,edw****,1,25.6.15.일,저녁에 방문,1번째 방문,영수증,1,Great food for a great price!! Will come again with friends and family!! Definitely recommend getting the fried pork and a bowl of black bean noodles.,긍정,Great food
신촌2호점,영태태,17,25.8.21.목,점심에 방문,3번째 방문,영수증,0,오늘도 맛있습니다!!,긍정,맛있습니다
신촌2호점,영태태,17,25.6.26.목,점심에 방문,1번째 방문,영수증,1,"볶음밥이 새로 나왔다고 해서 먹어봤는데, 양도 많고 너무 맛있었어요!

직원분들, 사장님 모두 항상 친절히 대해주셔서 감사합니다 :)",긍정,너무 맛있었어요
신촌2호점,pjm****,11,25.6.16.월,점심에 방문,1번째 방문,영수증,0,"역시 짜장면은 홍콩반점 ,,,, 특히 신촌점 너무 맛있어요 !!! 저렴한 가격에 탕수육까지 !!!!! 재방문 의사 10000센트 입니다 다음에 또 방문 할게요❤️",긍정,너무 맛있어요
신촌2호점,JIAH97,17,25.7.23.수,점심에 방문,3번째 방문,영수증,0,너무 맛있어요~~! 또 올게요!,긍정,너무 맛있어요
신촌2호점,JIAH97,17,25.6.11.수,점심에 방문,1번째 방문,영수증,0,짜장면이 너무 맛있어서 자주 방문하는 곳이에요! 다들 고기짜장에 고춧가루 뿌려드세요!!! 사장님도 너무 친절하셔서 좋아요~~☺️,긍정,너무 맛있어서
신촌2호점,영태태,17,25.7.10.목,점심에 방문,2번째 방문,영수증,0,"양도 많고, 너무 맛있어용 :) 내일 또 먹으려구요 ㅎㅎ",긍정,너무 맛있어용
신촌2호점,kye****,2,25.6.22.일,저녁에 방문,1번째 방문,영수증,0,사장님 정말 친절하시고 음식이 너무 맛있어요! 다음에 또 방문할 예정입니다~~,긍정,너무 맛있어요
신촌2호점,새비아씨61,223,25.6.18.수,점심에 방문,1번째 방문,영수증,0,매운맛이 강해서 느끼함도 덜하고 맛있었어요,긍정,맛있었어요
신촌2호점,Rubik70,1,25.6.22.일,점심에 방문,1번째 방문,영수증,0,"너무 맛없습니다. 중식 좋아하고, 다이어트중임에도 불구하고 면을 거의 다 남겼습니다. 한번 끓은거 데쳐서 사용한게 확실해 보일만큼 면이 하얗고 푸석푸석합니다.",부정,너무 맛없습니다.
신촌2호점,259811,49,25.5.23.금,점심에 방문,1번째 방문,결제내역,0,맛도 있는데요 플레이리스트 맛집이네요 음악 취향 굿,긍정,맛집이네요
신촌2호점,Mjeong,2,25.6.23.월,점심에 방문,1번째 방문,영수증,0,볶음짬뽕 진짜 맛있아요 너무 맵지 않고 딱좋아요,긍정,진짜 맛있어요
신촌2호점,메주콩야,22,25.7.8.화,저녁에 방문,1번째 방문,영수증,0,진짜 너무 맛없어요ㅜㅜ 사람이 한 명도 없을때 알아봤어야했는데.. 홍합 좋아하는데 비린내때매 하나도 못 먹음. 이제 이쪽 프렌차이즈는 다신 안 올 거 같음. 노란리뷰도 1.7점이던데 보고올걸 후회중,부정,맛없어요ㅜㅜ
신촌2호점,na****,"1,689",25.12.7.일,점심에 방문,3번째 방문,영수증,0,,,
신촌2호점,도토리끼리,776,25.5.14.수,저녁에 방문,2번째 방문,영수증,0,할인 쿠폰 있어서 먹으러 왔어요!,긍정,할인 쿠폰
신촌2호점,이오일31,672,25.7.7.월,점심에 방문,1번째 방문,영수증,0,,,
신촌2호점,flu****,15,25.5.26.월,점심에 방문,1번째 방문,영수증,0,"식초통에 정체불명 건더기가 있네요...
매장양념통이 이정도면 주방은 더 심란할거 같아요..",부정,정체불명
신촌2호점,qkq****,"2,488",25.8.12.화,점심에 방문,1번째 방문,영수증,0,찹쌀 탕수육 고소해요,긍정,고소해요
신촌2호점,Nodust76,365,25.2.1.토,점심에 방문,1번째 방문,결제내역,2,"자장면 짜다, 탕수육 왜케 후추를 ? 후추탕슉이라고 적어놓지! 신선도 가림이었나 고기가 퍼석하고 끝에 야리꾸리한 맛이 올라오는!! ㅎ ㅏ 속상 ㅜ 내 돈!!!!!!
짬뽕은 국물 금액대비 괜찮음 고기추가가 배부를듯
플라스틱 젓가락 이 자국이랑 패임들...😩 미세플라스틱 나오는거 모르나봄ㅜ",부정,짜다
신촌2호점,베지타,"1,237",25.8.6.수,아침에 방문,3번째 방문,영수증,0,볶음밥 신메뉴 처음먹어보는데 괜찬네요 짬뽕국물도 나옵니다. 탕슈욱에 쟁반짜장 조합은 최강,긍정,괜찬네요
신촌2호점,joyciee,984,25.7.3.목,저녁에 방문,1번째 방문,영수증,0,맛있어요!,긍정,맛있어요
신촌2호점,unknownn87,"1,335",25.2.23.일,저녁에 방문,1번째 방문,영수증,2,짬뽕이 이 맛이 아닌데....고기는 듬뿍인데...국물에 간이 안맞아요 감칠맛도 부족함...,부정,간이 안맞아요
신촌2호점,sangeun7724,395,25.1.15.수,저녁에 방문,1번째 방문,결제내역,4,"돈이 아까운 식사였습니다.
면이 원래 이렇게 싱겁냐고 물었더니 ""면이요? 면이요?! 면이요?!!“ 라고 오히려 큰소리로 되묻더니 면은 떼오는 거라 뭘 어쩔 수 없다네요... 굉장히 짜증스러운 말투와 불친절한 대응으로 기분까지 안 좋더군요.
백종원님 내꺼내먹하러 오셔야겠어요!!!",부정,돈이 아까운
신촌2호점,wwsshh86,692,25.1.23.목,저녁에 방문,1번째 방문,영수증,3,"어쩔수없이 리뷰를 써야겠네요
유튜브보고 괜찮아졌을까 기대하고 갔건만..당했네요.
면을 어떻게 끓이셨길래 걍 뜨거운물에 넣었다뺏다 한 식감에… 정말 너무너무너무 맛이 없었어요 ㅠㅠ
이렇게 밖에 쓸수없어서 죄송합니다..
좀 더 신경써서 만드셨으면 좋겠어요..
제가 간 중국집중에 제일 별로 였어요 ㅠㅠ",부정,맛이 없었어요
신촌2호점,수기0707,"1,334",25.3.10.월,저녁에 방문,1번째 방문,영수증,0,늘 먹는곳중 한곳이에요,긍정,늘 먹는곳중
신촌2호점,eas****,94,24.10.6.일,점심에 방문,1번째 방문,영수증,0,흑백요리사 보고 제일 먼저 느낀점: 백종원 멋있다 백종원 식당만 가야지!(?) 그래서 일요일 눈뜨자마자 집 앞 5분거리 홍콩반점에 왔어요 1인메뉴 탕짜면 있어서 너무 좋아요 맛있어요 최고 탕수육 쫀득파삭 식감 중독성 미쳤어요 매장 넓고 깨끗해요!,긍정,맛있어요
신촌2호점,원내동 김냐오,20,25.1.23.목,점심에 방문,1번째 방문,결제내역,1,"채소가 씹는맛이 하나도 없고 면이랑 국물이 따로 노는 느낌이에요..
여기까지는 요즘 중국집 대부분이 그래서 이해는 하는데 잘하는 홍콩반점 가보면 느껴지는 불맛이 거의 안나는건 많이 아쉬웠어요. 심지어 내꺼내먹 다음날에 찾아간건데..ㅠㅠㅠㅠㅠㅠ",부정,아쉬웠어요
신촌2호점,베지타,"1,237",25.9.23.화,저녁에 방문,4번째 방문,영수증,0,,,
신촌2호점,거북왕7317,42,25.2.12.수,점심에 방문,1번째 방문,영수증,0,고추짜장 맛있습니다,긍정,맛있습니다
신촌2호점,천슈신,383,24.10.20.일,저녁에 방문,2번째 방문,영수증,0,"⭐️⭐️⭐️
- 牛肉짬뽕 9500韓幣
- 沒看清楚，其實點一般版的就好了
- 짬뽕太鹹，沒有很好吃。還是炸醬麵最好吃～",부정,짬뽕太鹹
신촌2호점,별이abc,833,24.11.26.화,저녁에 방문,1번째 방문,영수증,0,직원분들 친절하고 주문한거 다 맛있어요😊,긍정,친절하고
신촌2호점,pyanue,62,24.11.28.목,점심에 방문,1번째 방문,결제내역,0,짜장 맛있어요,긍정,맛있어요
신촌2호점,Alicia3370,267,24.11.24.일,저녁에 방문,1번째 방문,영수증,1,"홍콩반점 오랜만에 왔는데 별로네요ㅠㅠ
맛도 쏘쏘
맛 대비 가격은 비싸고ㅜ",부정,별로네요ㅠㅠ
신촌2호점,강소이0,"2,994",24.9.26.목,저녁에 방문,3번째 방문,영수증,0,"짬뽕, 군만두 반접시 한끼로 좋아요",긍정,좋아요
신촌2호점,하라하하,349,24.8.24.토,점심에 방문,2번째 방문,영수증,0,"맛은 평범한듯 든든해요
가격이 저렴한 맛으로 굿",긍정,든든해요
신촌2호점,오다롱이,622,24.7.23.화,점심에 방문,1번째 방문,영수증,0,"1인 탕짬면 10,500원 가성비 좋아요:)
짬뽕과 탕수육을 한 그릇으로 먹을 수 있다는 점이 좋아요 탕수육이 다섯점 정도라서 크게 부담없이 먹을 수 있었어요:) 간장, 식초, 숟가락, 젓가락은 테이블 서랍 윗칸에 들어있고 냅킨과 홍합 껍질 담을 통은 테이블 서랍 아랫칸에 들어있어요
이외 춘장, 단무지, 양파는 셀프바에서 가져오면 되고 물은 퇴식구 옆에 있어요
메뉴 주문은 들어가자마자 카드결제 전용 키오스크가 있어서 주문하시면 되고 메뉴가 준비되면 주문번호를 듣고 가지고오면 돼요

원래 이렇게까지 셀프방식은 아니었던 것 같은데 오랜만에 와보니 많은게 바꼈네요

혼밥하기엔 좋았고 에어컨이 조금 더 시원하면 좋겠어요 :)",긍정,가성비 좋아요:)
신촌2호점,캡틴6368,"4,079",25.3.22.토,저녁에 방문,1번째 방문,영수증,0,ㅎㅎㅎㅎ,긍정,ㅎㅎㅎㅎ
신촌2호점,fks****,68,24.10.21.월,점심에 방문,1번째 방문,결제내역,2,"면발도 툭툭 끊기고 탄력이없었습니다. 삶아놓고 오래놔둔 느낌이었습니다.
짜장소스에서 탄내가나고 돼지고기잡내도 났습니다.양배추가 좀 그을린 것 같은데, 짜장 소스자체도 맛없었습니다. 짜장면을 이렇게 맛없게할수있나 싶었네요, 기분만 버렸습니다.
가지마세요 다른 곳 찾아가세요",부정,맛없었습니다
신촌2호점,son****,13,24.9.6.금,저녁에 방문,1번째 방문,영수증,1,"짬뽕국물은 너무 싱거워서 니맛도 내맛도 아니었구요 짜장면도 너무 짜다고 하셨어요.. 저도 먹어보니까 소금 짜빠게티먹는 느낌이더라구요. 면도 너무 식감이 살짝 덜익은 느낌이 있고요. 다만 탕수육은 맛있었네요. 근데 다시는 안올듯해요
짬뽕은 너무 맛이 없어서 저만큼 남겼어요. 백종원님 오셔야할듯",부정,너무 맛이 없어서
신촌2호점,맨디7012,"2,229",25.6.10.화,점심에 방문,2번째 방문,영수증,0,,,
신촌2호점,africa0215,"2,498",24.11.27.수,점심에 방문,1번째 방문,영수증,0,"SKT할인 고추짜장면, 탕수육 반접시 주문했어요~",긍정,SKT할인
신촌2호점,zl뷰장인v,"1,421",24.12.13.금,점심에 방문,1번째 방문,영수증,0,맛있어요~!,긍정,맛있어요
신촌2호점,sswdi,"1,995",24.9.1.일,점심에 방문,1번째 방문,영수증,0,짬뽕이 맛있다,긍정,맛있다
신촌2호점,늘항상언제나84,"1,348",24.10.21.월,저녁에 방문,1번째 방문,영수증,0,맛있어요,긍정,맛있어요
신촌2호점,베지타,"1,237",25.4.17.목,저녁에 방문,2번째 방문,영수증,0,,,
신촌2호점,Sue9982,93,24.6.24.월,저녁에 방문,1번째 방문,영수증,0,"짜장 양념이 딱 알맞습니다
살짝 부족할 수 있어요
탕수육 맛있어요",긍정,탕수육 맛있어요
신촌2호점,내 본명김민희,473,24.7.23.화,점심에 방문,1번째 방문,영수증,0,진짜 맛없음 홍콩반점 체인중 최악,부정,진짜 맛없음
신촌2호점,루키297,510,24.5.16.목,저녁에 방문,2번째 방문,결제내역,1,"신촌에서 가장 편하게 먹을 수 있는 중화요리집, 맛도 엄청 좋아요 ^^",긍정,좋아요
신촌2호점,대학원생의 솔직한 리뷰,374,24.8.3.토,점심에 방문,1번째 방문,결제내역,0,내꺼내먹때문에 온 곳인데 여기는 맛있네요!,긍정,맛있네요!
신촌2호점,신동욱89,95,24.7.20.토,저녁에 방문,1번째 방문,결제내역,0,"탕수육은 저렴하고 양도 많아 추천합니다.

짬뽕은 텁텁하고 짜고 그렇네요",부정,텁텁하고 짜고
신촌2호점,마리오26,6,24.8.3.토,점심에 방문,1번째 방문,결제내역,0,전날 과음을 해서 해장차 들렀던곳. 2024년 무지 더운 여름날이었는데 에어컨 성능이 ㅠㅠ 짬뽕을 먹었는데 눈물 콧물 땀이 계속 흘러내려 다 먹지도 못했고 나왔는데 밖이 오히려 시원했다는 ..ㅠㅠ,부정,에어컨 성능이 ㅠㅠ
신촌2호점,베지타,"1,237",25.3.13.목,저녁에 방문,1번째 방문,영수증,0,,,
신촌2호점,DEVILHUN,737,24.8.9.금,점심에 방문,1번째 방문,결제내역,0,혼밥하기 좋아여 맛있음,긍정,맛있음
신촌2호점,깜장아지매,"2,787",25.1.6.월,점심에 방문,1번째 방문,영수증,0,긋긋긋,부정,긋긋긋
신촌2호점,Jeong0701,205,24.4.14.일,저녁에 방문,1번째 방문,영수증,0,"3900원에 짜장면을 먹을 수 있다니!!!
양이 정말 많아요.
맛있긴 한데 다 먹을 수 없어요.😋",긍정,양이 정말 많아요.
신촌2호점,일렉92,18,24.6.26.수,점심에 방문,1번째 방문,영수증,0,유튜브보고 두툼한 계란이 먹고싶어 갔는데 홍보용 계란두께하고 많이 다른 모습에 실망했네요 다음부턴 계란 더 두껍게 해주세요,부정,실망했네요
신촌2호점,제너럴쏘치킨,29,24.6.4.화,점심에 방문,1번째 방문,영수증,12,"음식은 맛있는데 남자사장님이 영 별로네요. 블로그 리뷰하러 사진 좀 찍었다고 무슨 죄인 취조하듯이 블로그 이름이 뭐냐고 다른 사람도 다 있는 홀에서 망신주고, 사진을 지우라고 윽박지르지 않나. 사람 얼굴이 들어가면 안 된다고 다그치는데(애초에 사람 얼굴은 들어가지도 않거니와 어쩌다 얼굴이 찍혀도 모자이크 처리하는데) 기분이 참 더럽더라고요. 좋은 마음으로 리뷰를 해주려다 기분이 잡쳐버렸네요. 그냥 정중하게 업장 방침상 사진촬영이 어렵다고 얘기했으면 웃으며 넘어갈 텐데 너무 기분이 안 좋아. 평소 안 쓰던 영수증 리뷰 남깁니다. 요즘 백종원 대표가 홍콩반점 점검하던데 이 집은 맛보다 서비스부터 개선해야겠네요.",부정,남자사장님
신촌2호점,샤이658,826,24.6.17.월,저녁에 방문,1번째 방문,영수증,0,평범합니다. 한 끼 먹기 좋아요,긍정,한 끼 먹기 좋아요
신촌2호점,루키297,510,24.4.1.월,저녁에 방문,1번째 방문,결제내역,1,아주 아주 편하게 식사 할 수있는 장소 ^^,긍정,편하게
신촌2호점,또리3671,"3,016",24.2.25.일,점심에 방문,2번째 방문,영수증,0,"신촌홍콩반점 맛있아요~~
고기짬뽕, 찹쌀탕수육도 맛있지만 고추짜장 넘 맛있네요~~
혼밥하기 좋고 단체로 가도좋아요",긍정,맛있어요~~
신촌2호점,해동청골50,4,24.6.9.일,저녁에 방문,1번째 방문,결제내역,3,"리뷰는 잘 안 쓰지만... 여기 사장님 좀 이상 합니다
짜장면을 시키고 음식이 나와서 먹으려고 했더니, 짜장면 그릇에 하얀색 가루가 있더라고요.
뭔지 물어보려고 그릇을 들고 갔더니... 안에 음식을 하던 사장님이 나와서 화를 내면서 이건 분말가루인데...그냥 먹어도 되는 거라는 말을 화를 내면서 말을 하더라고요
그럼 분말 가루가 묻은 손으로 그릇을 잡는 건 위생적인 건가 ㅋㅋㅋ
참 말이라는 게... 아 다르고 어 다른 건데... 음식 맛을 떠나서 소비자를 뭐라고 생각을 하면 이렇게 행동하시는지...다신 안 갈듯합니다
인성 고치세요
음식도 그렇게 맛있는 것도 아니고 ㅋㅋ 인성도 별로고..... 두 번은 안 갈듯합니다",부정,인성 고치세요
신촌2호점,미스김스타일,759,24.8.2.금,점심에 방문,1번째 방문,영수증,0,맛있어요,긍정,맛있어요
신촌2호점,행복하자71,"1,881",24.8.9.금,점심에 방문,1번째 방문,영수증,1,"짬뽕이 좀 느끼했어요.
수저통에 먼지가 많았는데 그상태로 수저가 있었고, 컵에는 물때가 있었어요. 다시 가고싶지는 않네요.",부정,물때가 있었어요
신촌2호점,yeahya,268,24.3.19.화,점심에 방문,1번째 방문,영수증,0,가성비 중국집으로 쉽게 갈 수 있어서 좋아요! 조금 청결이 아쉬운 부분이지만 그 점 빼고는 다 좋습니다!!😀,긍정,좋아요
신촌2호점,jh9083,105,24.5.13.월,저녁에 방문,1번째 방문,영수증,0,알찬 구성이었습니다 ^,긍정,알찬
신촌2호점,두란다란,607,24.4.6.토,저녁에 방문,1번째 방문,영수증,0,가성비 갱에 어서오시게나,긍정,가성비
신촌2호점,Park49,65,24.4.18.목,저녁에 방문,1번째 방문,영수증,5,가지 마세요! 맛도 없고 바닥과 식기가 비위생적인데 늙은 남사장이 비정상이에요. 10시 라스트오더였고 밥을 9시40분에 받았습니다. 마지막에서 두번째 입장이었고 세트를 시켰는데 10시 조금 넘어 다른 테이블 나가니까 사장이 5분 안에 드시고 가라네요? 네 했다가 아무래도 이상해서 10시30분까지 아니냐 음식이 좀 남았다 했더니 그냥 일찍 닫겠다면서 딱 지가 말한 5분쯤 되니까 식사중인 사람이 있는데도 의자를 전부 올리고 청소하며 눈치줍니다. 그 시간에 맞춰주려고 급히 먹긴 했는데 이건 아닌 것 같아 영업시간이 20분은 남은 시점에 서둘러 나가면서 문을 일찍 닫고싶으시면 주문시 미리 공지를 해주시라고 말했더니 음식 얼마 남지도 않았고 다른 테이블 다 나갔는데 왜 있냐고 적반하장으로 소리를 질러 공포였습니다.,부정,가지 마세요!
신촌2호점,유니셰프,222,23.10.30.월,저녁에 방문,1번째 방문,영수증,0,"신메뉴 치킨반반탕슉이 나왔다고 해서 고기짬뽕과 함께 먹어봤어요
우선 탕슉은 저희가 아는 찹쌀탕수육이지만 치킨은 그냥 냉동?치킨 튀긴 느낌입니다...^^ 그렇다고 막 맛 없는 건 아니지만 찹쌀탕수육에 2천원 추가된 가격이어서 약간 아쉬웠던 것 같아요
고기짬뽕은 고기가 정말 듬뿍 들어있고 맛 칼칼하고 좋아요
앞으로도 홍콩반점에서는 찹쌀탕수육 주문하는 걸로...!",긍정,맛 칼칼하고 좋아요
신촌2호점,뚜루왑,"1,035",24.2.21.수,저녁에 방문,1번째 방문,영수증,0,자장면 할인 이벤트로 곱빼기 먹었는데 양 정말 많고 맛있었어요! 매장도 은근 넓어서 좋았습니다 ~~,긍정,맛있었어요
신촌2호점,미미4734,"1,042",25.3.3.월,저녁에 방문,1번째 방문,영수증,0,ᆢ친절해,긍정,친절해
신촌2호점,hj****,271,24.5.23.목,저녁에 방문,1번째 방문,결제내역,0,,,
신촌2호점,lovelylora,919,23.12.12.화,점심에 방문,1번째 방문,영수증,0,옛날에 자주가던 체인인데 세브란스병원갔다가 눈에 띄어갔네요. 장소마다 맛은 좀 다른듯. 요기잘했음,긍정,요기잘했음
신촌2호점,9995,17,24.6.16.일,저녁에 방문,1번째 방문,영수증,0,가성비 굿,긍정,가성비 굿
신촌2호점,minjin0911,"5,382",24.4.2.화,점심에 방문,1번째 방문,영수증,0,탕짜면 해쉬브라운,긍정,해쉬브라운
신촌2호점,봉구봉구70,"1,279",24.4.14.일,저녁에 방문,1번째 방문,영수증,0,블랙데이라 갔는데 면이 맛이없네요,부정,맛이없네요
신촌2호점,후한비평가,179,24.3.4.월,점심에 방문,2번째 방문,영수증,1,깐풍새우는 처음 먹었는데 맛있네요,긍정,맛있네요
신촌2호점,맨디7012,"2,229",24.11.28.목,점심에 방문,1번째 방문,결제내역,0,,,
신촌2호점,yfrey,"2,746",24.2.21.수,점심에 방문,1번째 방문,영수증,0,오늘 3900원 행사해요. 친절하고 깔끔해요,긍정,친절하고 깔끔해요
신촌2호점,후한비평가,179,24.1.10.수,점심에 방문,1번째 방문,영수증,0,맛있습니다 가성비도 좋아요,긍정,맛있습니다
신촌2호점,pyr****,"1,076",24.6.7.금,점심에 방문,1번째 방문,영수증,0,저렴해요,긍정,저렴해요
신촌2호점,Starest09876b,576,24.7.29.월,저녁에 방문,1번째 방문,영수증,0,밥,긍정,밥
신촌2호점,Smat,"1,328",24.5.14.화,저녁에 방문,1번째 방문,영수증,0,조아용,긍정,조아용
신촌2호점,jos****,732,24.2.16.금,점심에 방문,1번째 방문,영수증,0,맛있게 잘 먹었습니다:),긍정,맛있게
신촌2호점,날개천사14,"1,510",24.4.1.월,점심에 방문,1번째 방문,영수증,0,맛있어요.,긍정,맛있어요
신촌2호점,run****,81,24.3.7.목,저녁에 방문,1번째 방문,영수증,0,1인 메뉴 있어서 좋아요,긍정,좋아요
신촌2호점,kth****,788,24.1.16.화,점심에 방문,4번째 방문,영수증,0,탕수육도 맛있고 자주 방문해요 ㅎㅎ,긍정,맛있고
신촌2호점,하라하하,349,23.11.27.월,저녁에 방문,1번째 방문,영수증,0,치킨도 먹고 싶고 탕수육도 먹고 싶을때,긍정,먹고 싶고
신촌2호점,hwangga007,"1,470",24.5.6.월,저녁에 방문,1번째 방문,영수증,0,보통,부정,보통
신촌2호점,또리3671,"3,016",23.11.12.일,아침에 방문,1번째 방문,영수증,0,가성비좋고 맛있어요!,긍정,맛있어요
신촌2호점,YUWOL54,130,24.1.7.일,점심에 방문,1번째 방문,결제내역,0,이젠 홍콩반점이 푸드코트마냥 키오스크에 직접받아가고 반납하는 형식이라니 세상 야박해졌다,부정,세상 야박해졌다
신촌2호점,크레용2119,139,23.12.10.일,점심에 방문,1번째 방문,영수증,0,군만두 맛있어영🫶,긍정,맛있어영
신촌2호점,sel****,"1,232",23.12.29.금,점심에 방문,1번째 방문,영수증,0,탕수육앗있어요,긍정,탕수육앗있어요
